,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time,R0,R1,R2,R3,V0,V1,V2,V3,Temperature,Sample Time,Cap,Motor Position,Calculated Strain,Corrected R b,Corrected R a,Delta,R,angle,strain_aprox,Passive Corrected R,Passive Corrected R b
1448,1448,1448,1448,303.8800306320191,667.6160000000001,1030.436,962.1206,194443.5312,1370.4347,1725.7291,1669.1886,3284.1235,24.84,0.199989,64.0,8639.0,0.0011122787839642988,1650.0092361051709,1650.2876013632724,4755.0,0.9020883307045215,0.205440788792505,0.0039817286380326895,0.2070315522977353,63.20549247972667
1449,1449,1449,1449,304.0799024105072,667.6138,1030.4478,962.1068,194491.625,1370.432,1725.7385,1669.1768,3284.1274,24.85,0.199984,64.0,8701.0,0.001126777327931578,1650.0112229539734,1650.3113155771493,4817.0,0.8905390791986714,0.2081147114601989,0.004056826672340821,0.21980673104621928,59.023362764623016
1450,1450,1450,1450,304.27979254722595,667.618,1030.4458,962.1307,194413.5,1370.4371,1725.7369,1669.1973,3284.1211,24.84,0.199987,64.0,8759.0,0.001140340481965484,1650.0067239644454,1650.3025669318604,4875.0,0.8800016025641025,0.21061595450769285,0.0041276183856931185,0.21594502616233055,71.43421205412596
1451,1451,1451,1451,304.4701654911041,667.6078,1030.4443,962.1363,194419.5156,1370.4249,1725.7357,1669.2020000000002,3284.1216,24.85,0.199987,64.0,8819.0,0.0011543713309660768,1650.000690549279,1650.3125026294415,4935.0,0.8693621301925024,0.21320327381843407,0.004201399126735939,0.21896630945195736,98.66323280753568
1452,1452,1452,1452,304.69145274162287,667.6134,1030.436,962.1216,194380.4688,1370.4316,1725.7291,1669.1895,3284.1184,24.86,0.19999,64.0,8819.0,0.0011543713309660768,1650.0212895111413,1650.2908142942254,4935.0,0.8693621301925024,0.21320327381843407,0.004201399126735939,0.20818403627356474,3.931203328538686
1453,1453,1453,1453,304.8813557624817,667.6146,1030.4404,962.1224,194410.5,1370.4331,1725.7327,1669.1902,3284.1208,24.87,0.199983,64.0,8799.0,0.0011496943812992124,1650.0144552073416,1650.2971603245887,4915.0,0.8728796770091556,0.21234085378225148,0.0041767436371055264,0.21205212059214773,36.99289200780913
1454,1454,1454,1454,305.09123802185064,667.6160000000001,1030.4335,962.1184,194473.5938,1370.4347,1725.7272,1669.1866,3284.126,24.87,0.199989,64.0,8741.0,0.0011361312272653065,1650.00496772021,1650.2831530783908,4857.0,0.8832448475396335,0.20983972421608352,0.004105592818516692,0.20453155229768072,84.93424861179665
1455,1455,1455,1455,305.271181344986,667.6134,1030.4385,962.1169,194365.4688,1370.4316,1725.7311,1669.1854,3284.1172,24.87,0.199987,64.0,8679.0,0.0011216326832980273,1650.0283906259306,1650.2952625551159,4795.0,0.8946029223149115,0.2071659213764414,0.004030110865829942,0.21068403627339194,-28.872917661443353
1456,1456,1456,1456,305.482855796814,667.613,1030.4305,962.1188,194467.5938,1370.4312,1725.7247,1669.187,3284.1255,24.87,0.199987,64.0,8621.0,0.0011080695292641212,1650.0058531365494,1650.2815223340071,4737.0,0.9054981179016256,0.20466445413458406,0.003960037451344128,0.20286134150035195,80.4494929513894
1457,1457,1457,1457,305.6826844215393,667.6101,1030.4271,962.1234,194452.5625,1370.4276,1725.7220000000002,1669.1909,3284.1243,24.85,0.199985,64.0,8559.0,0.0010935709852968425,1650.004986150304,1650.2790562595974,4675.0,0.9174444518716576,0.20199029477119151,0.0038857073475283173,0.20074680439654455,82.84350285632536
1458,1458,1458,1458,305.89233565330505,667.6105,1030.4276,962.1257,194410.5,1370.4281,1725.7224,1669.193,3284.1208,24.84,0.199987,64.0,8501.0,0.0010800078312629359,1650.0116255306484,1650.2794516304455,4617.0,0.9289112723630064,0.19948849816223888,0.0038167115999732703,0.2010694991693072,49.49365780921653
1459,1459,1459,1459,306.0725274085998,667.6127,1030.4187,962.1179,194425.5156,1370.4308,1725.7153,1669.1863,3284.1221,24.83,0.199987,64.0,8439.0,0.001065509287295657,1650.01523969578,1650.2608966935022,4555.0,0.9414926481888036,0.1968139911602456,0.003743533623718232,0.19119432042055,34.96199318766594
1460,1460,1460,1460,306.2824592590332,667.6097,1030.4163,962.1192,194524.7031,1370.4272,1725.7134,1669.1874,3284.1301,24.84,0.199987,64.0,8381.0,0.0010519461332617508,1649.9938178026935,1650.260333428594,4497.0,0.95357716355348,0.1943118734993921,0.0036756158016850006,0.19012410962352533,139.07403729110956
1461,1461,1461,1461,306.47385501861567,667.6114,1030.4167,962.1074,194461.5781,1370.4292,1725.7137,1669.1772,3284.125,24.86,0.199986,64.0,8319.0,0.0010374475892944717,1650.0168601164585,1650.2589444065768,4435.0,0.9668454594137542,0.1916370277509159,0.003603590227148608,0.1897705624083983,31.249329274054617
